MiNabo.ElapsedDays        MiNabo.EarthMJ2000Ec.X    MiNabo.EarthMJ2000Ec.Y    MiNabo.EarthMJ2000Ec.Z    MiNabo.EarthMJ2000Ec.VX   MiNabo.EarthMJ2000Ec.VY   MiNabo.EarthMJ2000Ec.VZ   
0                         7000                      0                         0                         0                         7.5                       0                         
MiNabo.ElapsedDays        MiNabo.EarthMJ2000Ec.X    MiNabo.EarthMJ2000Ec.Y    MiNabo.EarthMJ2000Ec.Z    MiNabo.EarthMJ2000Ec.VX   MiNabo.EarthMJ2000Ec.VY   MiNabo.EarthMJ2000Ec.VZ   
0                         7000                      0                         0                         0                         7.5                       0                         
0.0001157407423306722     6999.592731137381         74.99854468382245         -7.40952087951996e-06     -0.08145301321014858      7.499563429724973         -1.625282844752718e-06    
0.002347379162529251      6833.11679398442          1508.988316154052         -0.01436228571571974      -1.639360918303716        7.321073537946791         -0.0001997875239192481    
0.005819601381517714      5994.421629370854         3588.525898192163         -0.1923428144611989       -3.904660914139728        6.420191245178501         -0.001098042806961352     
0.009291823604144156      4529.913053508791         5292.984026660951         -0.7293673335980202       -5.775101504535029        4.840380493757471         -0.002553757882878927     
0.0127640458267706        2588.863670963593         6439.816381736155         -1.750889253130026        -7.052240912428476        2.733161417451349         -0.004269105560273157     
0.01623626804939704       372.8020613292385         6900.978455006713         -3.277570080365877        -7.589410426837698        0.3083817247284489        -0.005850337827788404     
0.01970849027202348       -1882.887223398706        6618.302047185662         -5.203934394950011        -7.310518057206216        -2.181133312242127        -0.006860961297284307     
0.02318071249464992       -3932.56269880956         5613.141867580237         -7.296105176270203        -6.225332695830573        -4.462538952820492        -0.006895033287880992     
0.02665293471727637       -5547.486474694434        3987.991123404197         -9.213589164783343        -4.437174705071955        -6.273332756982356        -0.005662069277313719     
0.03012515693990281       -6543.568406777818        1918.196967916052         -10.55627182093861        -2.13839274752878         -7.396232649022714        -0.00306681507357176      
0.03359737916252925       -6805.495625301239        -366.7251040530822        -10.93185314292691        0.4094471266397831        -7.692357525825575        0.0007379911642164672     
0.03706960138151771       -6302.694132390204        -2610.449986769489        -10.03249499311914        2.909579027713401         -7.124491437479911        0.005345603980897451      
